epoch,p1x,p1y,p1z,p2x,p2y,p2z
123,14.0,14.0,1.0,16.0,15.0,31.0
124,14.0,16.0,1.0,16.0,14.0,31.0
125,13.0,14.0,1.0,16.0,16.0,31.0
126,14.0,14.0,1.0,15.0,16.0,31.0
127,14.0,16.0,1.0,16.0,13.0,31.0
128,13.0,15.0,1.0,16.0,13.0,31.0
129,14.0,13.0,1.0,16.0,16.0,31.0
130,14.0,14.0,1.0,15.0,16.0,31.0
131,13.0,15.0,1.0,16.0,14.0,31.0
132,13.0,15.0,1.0,16.0,13.0,31.0
133,14.0,14.0,1.0,16.0,15.0,31.0
134,13.0,14.0,1.0,16.0,15.0,31.0
135,13.0,15.0,1.0,16.0,13.0,31.0
136,14.0,16.0,1.0,16.0,14.0,31.0
137,14.0,14.0,1.0,16.0,15.0,31.0
138,14.0,14.0,1.0,16.0,15.0,31.0
139,13.0,15.0,1.0,16.0,14.0,31.0
140,14.0,16.0,1.0,16.0,14.0,31.0
141,14.0,14.0,1.0,15.0,16.0,31.0
142,14.0,16.0,1.0,16.0,14.0,31.0
143,15.0,13.0,1.0,14.0,16.0,31.0
144,15.0,16.0,1.0,14.0,14.0,31.0
145,14.0,14.0,1.0,15.0,16.0,31.0
146,14.0,16.0,1.0,15.0,13.0,31.0
147,13.0,15.0,1.0,17.0,14.0,31.0
148,14.0,16.0,1.0,15.0,13.0,31.0
149,13.0,15.0,1.0,16.0,14.0,31.0
150,14.0,16.0,1.0,16.0,14.0,31.0
151,15.0,16.0,1.0,14.0,13.0,31.0
152,13.0,15.0,1.0,16.0,14.0,31.0
153,14.0,16.0,1.0,16.0,14.0,31.0
154,13.0,15.0,1.0,16.0,14.0,31.0
155,13.0,15.0,1.0,16.0,14.0,31.0
156,13.0,15.0,1.0,16.0,14.0,31.0
157,13.0,15.0,1.0,16.0,14.0,31.0
158,14.0,16.0,1.0,16.0,14.0,31.0
159,14.0,14.0,1.0,16.0,15.0,31.0
160,13.0,15.0,1.0,16.0,14.0,31.0
161,14.0,14.0,1.0,16.0,15.0,31.0
162,14.0,14.0,1.0,16.0,15.0,31.0
163,13.0,14.0,1.0,16.0,16.0,31.0
164,13.0,14.0,1.0,16.0,15.0,31.0
165,16.0,14.0,1.0,15.0,16.0,31.0
166,13.0,14.0,1.0,16.0,16.0,31.0
167,14.0,13.0,1.0,15.0,17.0,31.0
168,16.0,15.0,1.0,14.0,14.0,31.0
169,14.0,14.0,1.0,15.0,16.0,31.0
170,13.0,15.0,1.0,16.0,13.0,31.0
171,14.0,16.0,1.0,16.0,14.0,31.0
172,13.0,15.0,1.0,16.0,14.0,31.0
173,16.0,15.0,1.0,13.0,14.0,31.0
174,14.0,16.0,1.0,16.0,14.0,31.0
175,14.0,14.0,1.0,16.0,15.0,31.0
176,14.0,14.0,1.0,15.0,16.0,31.0
177,16.0,14.0,1.0,14.0,15.0,31.0
178,14.0,16.0,1.0,16.0,14.0,31.0
179,14.0,16.0,1.0,16.0,14.0,31.0
180,13.0,15.0,1.0,16.0,14.0,31.0
181,13.0,16.0,1.0,17.0,14.0,31.0
182,14.0,16.0,1.0,16.0,14.0,31.0
183,14.0,16.0,1.0,16.0,14.0,31.0
184,14.0,16.0,1.0,16.0,14.0,31.0
185,16.0,14.0,1.0,14.0,16.0,31.0
186,14.0,16.0,1.0,16.0,14.0,31.0
187,13.0,15.0,1.0,16.0,13.0,31.0
188,14.0,14.0,1.0,15.0,16.0,31.0
189,14.0,16.0,1.0,15.0,13.0,31.0
190,16.0,14.0,1.0,14.0,16.0,31.0
191,13.0,15.0,1.0,16.0,14.0,31.0
192,14.0,16.0,1.0,16.0,14.0,31.0
193,13.0,14.0,1.0,16.0,16.0,31.0
194,14.0,14.0,1.0,16.0,15.0,31.0
195,13.0,14.0,1.0,17.0,15.0,31.0
196,13.0,14.0,1.0,16.0,15.0,31.0
197,14.0,14.0,1.0,16.0,15.0,31.0
198,14.0,13.0,1.0,15.0,17.0,31.0
199,14.0,16.0,1.0,16.0,14.0,31.0
200,14.0,14.0,1.0,16.0,15.0,31.0
201,13.0,15.0,1.0,16.0,13.0,31.0
202,13.0,15.0,1.0,16.0,14.0,31.0
203,13.0,15.0,1.0,16.0,14.0,31.0
204,14.0,13.0,1.0,16.0,16.0,31.0
205,13.0,16.0,1.0,16.0,13.0,31.0
206,14.0,14.0,1.0,16.0,15.0,31.0
207,14.0,16.0,1.0,16.0,14.0,31.0
208,13.0,14.0,1.0,16.0,16.0,31.0
209,13.0,14.0,1.0,16.0,16.0,31.0
210,14.0,16.0,1.0,16.0,14.0,31.0
211,14.0,16.0,1.0,16.0,14.0,31.0
212,13.0,14.0,1.0,16.0,15.0,31.0
213,15.0,16.0,1.0,14.0,13.0,31.0
214,13.0,14.0,1.0,16.0,16.0,31.0
215,13.0,15.0,1.0,16.0,14.0,31.0
216,14.0,14.0,1.0,15.0,16.0,31.0
217,14.0,16.0,1.0,15.0,13.0,31.0
218,14.0,16.0,1.0,16.0,14.0,31.0
219,13.0,15.0,1.0,16.0,14.0,31.0
220,14.0,13.0,1.0,15.0,17.0,31.0
221,14.0,16.0,1.0,16.0,14.0,31.0
222,13.0,14.0,1.0,16.0,15.0,31.0
223,13.0,14.0,1.0,16.0,15.0,31.0
224,13.0,15.0,1.0,16.0,13.0,31.0
225,13.0,15.0,1.0,16.0,14.0,31.0
226,13.0,14.0,1.0,16.0,15.0,31.0
227,14.0,16.0,1.0,16.0,14.0,31.0
228,14.0,16.0,1.0,16.0,14.0,31.0
229,14.0,16.0,1.0,16.0,14.0,31.0
230,13.0,15.0,1.0,16.0,14.0,31.0
231,13.0,13.0,1.0,15.0,17.0,31.0
232,13.0,14.0,1.0,16.0,15.0,31.0
233,13.0,15.0,1.0,16.0,14.0,31.0
234,14.0,14.0,1.0,15.0,16.0,31.0
235,13.0,14.0,1.0,16.0,15.0,31.0
236,13.0,14.0,1.0,16.0,15.0,31.0
237,14.0,16.0,1.0,16.0,13.0,31.0
238,14.0,16.0,1.0,16.0,14.0,31.0
239,13.0,14.0,1.0,16.0,16.0,31.0
240,13.0,14.0,1.0,16.0,15.0,31.0
241,14.0,16.0,1.0,16.0,14.0,31.0
242,13.0,15.0,1.0,16.0,14.0,31.0
243,13.0,15.0,1.0,16.0,14.0,31.0
244,13.0,14.0,1.0,16.0,15.0,31.0
245,13.0,15.0,1.0,16.0,14.0,31.0
246,13.0,14.0,1.0,16.0,16.0,31.0
247,16.0,14.0,1.0,14.0,16.0,31.0
248,14.0,16.0,1.0,16.0,14.0,31.0
249,13.0,15.0,1.0,16.0,14.0,31.0
250,14.0,13.0,1.0,16.0,16.0,31.0
251,14.0,16.0,1.0,16.0,14.0,31.0
252,14.0,14.0,1.0,15.0,16.0,31.0
253,13.0,14.0,1.0,16.0,16.0,31.0
254,14.0,16.0,1.0,16.0,14.0,31.0
255,13.0,14.0,1.0,16.0,15.0,31.0
256,14.0,14.0,1.0,16.0,15.0,31.0
257,14.0,16.0,1.0,16.0,14.0,31.0
258,13.0,14.0,1.0,16.0,16.0,31.0
259,14.0,14.0,1.0,16.0,15.0,31.0
260,14.0,14.0,1.0,15.0,16.0,31.0
261,14.0,16.0,1.0,16.0,14.0,31.0
262,14.0,14.0,1.0,16.0,15.0,31.0
263,13.0,14.0,1.0,16.0,15.0,31.0
264,14.0,14.0,1.0,16.0,15.0,31.0
265,13.0,14.0,1.0,17.0,15.0,31.0
266,14.0,16.0,1.0,15.0,13.0,31.0
267,14.0,14.0,1.0,16.0,15.0,31.0
268,14.0,16.0,1.0,15.0,13.0,31.0
269,14.0,14.0,1.0,16.0,15.0,31.0
270,16.0,14.0,1.0,14.0,16.0,31.0
271,14.0,16.0,1.0,16.0,14.0,31.0
272,14.0,16.0,1.0,16.0,14.0,31.0
273,14.0,14.0,1.0,16.0,15.0,31.0
274,13.0,14.0,1.0,16.0,15.0,31.0
275,13.0,15.0,1.0,16.0,14.0,31.0
